record_id,date,pharmacy_id,medicine_id,medicine_category,pharmacy_location_code,supplier_count,current_stock_level,avg_weekly_sales,reorder_quantity,lead_time_days,supplier_delay_frequency,price_change_rate,storage_capacity,previous_shortage_count,dos_per_patient,category_shortage_rate,stock_to_sales_ratio,demand_volatility,seasonal_demand_factor,num_patients,target_stockout
47,2024-10-10,85,45,Painkiller,9,2,83,37,100,14,0.92,0.09,438,0,0.58,0.0,2.24,0.18,1.0,27,0
48,2024-05-25,9,44,Oncology,2,1,92,32,100,31,0.97,0.02,436,0,0.77,0.3,2.88,0.63,1.0,26,1
49,2024-03-17,37,34,Diabetes,16,3,33,29,62,33,0.25,0.0,154,0,0.42,0.0,1.14,0.53,1.0,19,1
50,2024-01-15,38,50,Painkiller,19,1,129,70,100,15,1.0,0.07,448,0,0.81,0.1,1.84,0.74,1.0,16,1
51,2024-05-07,21,35,Antibiotic,20,3,85,75,100,4,0.4,0.04,310,0,0.61,0.2,1.13,0.67,1.0,13,1
52,2024-05-15,35,20,Diabetes,19,1,100,48,100,45,0.89,-0.0,401,0,0.81,0.0,2.08,0.17,1.0,18,1
53,2024-09-16,71,41,Cardiology,6,2,174,31,77,1,0.41,0.13,361,0,2.46,0.1,5.61,0.15,1.0,16,1
54,2024-05-16,12,24,Painkiller,5,2,136,25,84,3,0.78,0.11,287,0,1.12,0.0,5.44,0.33,1.0,34,1
55,2024-12-11,59,27,Antibiotic,7,4,25,55,100,84,0.51,-0.09,477,0,0.17,0.0,0.45,0.69,1.4,19,1
56,2024-07-17,18,14,Oncology,13,3,118,13,35,6,0.45,-0.05,141,0,3.34,0.1,9.08,0.16,1.0,19,1
57,2024-06-11,64,25,Diabetes,6,3,171,44,100,7,0.26,-0.07,242,0,0.74,0.1,3.89,0.53,1.0,37,1
58,2024-07-25,56,36,Antibiotic,13,1,89,33,100,54,0.85,-0.02,217,0,1.18,0.1,2.7,0.78,1.0,16,1
59,2024-04-13,18,32,Antibiotic,1,4,17,39,100,4,0.63,-0.0,111,0,0.34,0.0,0.44,0.82,1.2,9,1
60,2024-04-19,45,5,Oncology,20,3,44,42,100,22,0.32,0.09,309,0,0.25,0.2,1.05,0.4,1.0,29,1
61,2024-08-29,8,49,Antibiotic,1,1,127,15,39,8,0.63,0.11,146,0,5.39,0.1,8.47,0.12,1.0,11,1
62,2024-09-12,46,21,Cardiology,17,2,93,34,100,3,0.32,0.01,289,0,0.96,0.2,2.74,0.83,1.0,20,0
63,2024-12-08,23,1,Painkiller,16,1,74,30,100,62,0.83,-0.04,486,0,1.92,0.0,2.47,0.52,1.0,9,0
64,2024-01-15,2,31,Antibiotic,1,3,58,57,100,9,0.55,-0.1,163,0,0.27,0.1,1.02,0.19,1.4,26,1
65,2024-06-16,66,5,Cardiology,2,3,50,23,66,16,0.54,0.07,404,0,7.61,0.0,2.17,0.87,1.0,2,0
66,2024-10-26,11,28,Diabetes,7,1,224,36,100,73,0.39,0.12,200,0,1.89,0.1,6.22,0.72,1.0,23,1
67,2024-01-01,33,30,Antibiotic,5,3,74,33,100,2,0.62,-0.01,473,0,1.43,0.2,2.24,0.7,1.4,11,1
68,2024-01-05,61,2,Painkiller,16,2,61,50,100,3,0.19,-0.0,103,0,0.43,0.2,1.22,0.17,1.0,20,0
69,2024-10-05,87,11,Diabetes,16,4,84,32,68,15,0.29,0.04,398,0,6.12,0.2,2.62,0.7,1.0,3,0
70,2024-03-19,62,28,Oncology,4,1,122,50,100,68,0.63,0.03,284,0,1.07,0.1,2.44,0.26,1.0,16,1
71,2024-01-04,69,32,Painkiller,5,3,60,46,100,55,0.11,0.16,489,0,0.31,0.2,1.3,0.47,1.0,29,1
72,2024-11-28,15,23,Diabetes,17,3,90,30,60,2,0.25,0.12,367,0,1.05,0.0,3.0,0.9,1.0,20,0
73,2024-05-03,75,2,Diabetes,8,2,102,34,100,3,0.55,0.03,377,0,3.5,0.1,3.0,0.6,1.0,6,1
74,2024-08-10,65,45,Cardiology,18,2,65,26,87,2,0.45,0.11,366,0,2.92,0.0,2.5,0.57,1.0,6,0
75,2024-12-19,52,34,Painkiller,8,1,232,35,100,58,0.95,0.03,451,0,9.28,0.0,6.63,0.76,1.0,5,0
76,2024-01-13,9,6,Oncology,12,2,0,10,35,15,0.81,0.06,477,0,0.0,0.1,0.0,0.13,1.0,24,1
77,2024-05-12,95,7,Oncology,12,1,98,20,46,13,0.87,-0.03,235,0,1.07,0.4,4.9,0.89,1.0,32,1
78,2024-05-10,14,25,Diabetes,11,3,106,44,100,85,0.38,-0.02,293,0,0.94,0.2,2.41,0.46,1.0,18,1
79,2024-10-06,45,7,Oncology,5,3,100,16,34,5,0.48,0.04,360,0,7.29,0.1,6.25,0.65,1.0,6,1
80,2024-07-21,9,6,Antibiotic,2,1,169,61,100,13,0.46,0.17,267,0,0.69,0.2,2.77,0.88,1.0,28,1
81,2024-08-16,88,13,Diabetes,14,3,102,50,100,11,0.22,0.13,125,0,0.79,0.0,2.04,0.4,1.0,18,1
82,2024-09-09,62,31,Diabetes,20,3,218,26,100,34,0.5,0.17,484,0,1.83,0.0,8.38,0.42,1.0,32,0
83,2024-12-26,56,3,Oncology,14,3,130,27,75,90,0.52,0.13,372,0,1.2,0.1,4.81,0.6,1.0,28,1
84,2024-06-14,66,13,Diabetes,13,1,118,41,100,3,0.75,-0.1,370,0,1.19,0.2,2.88,0.44,1.0,17,1
85,2024-06-20,76,5,Antibiotic,19,2,99,56,100,7,0.59,0.2,194,0,0.82,0.0,1.77,0.54,1.0,15,1
86,2024-06-08,63,49,Cardiology,9,1,84,32,100,15,0.52,0.01,340,0,0.97,0.0,2.62,0.75,1.0,19,1
87,2024-08-16,36,47,Antibiotic,16,3,88,49,100,11,0.35,0.06,392,0,0.7,0.2,1.8,0.71,1.0,18,1
88,2024-02-24,41,11,Diabetes,14,1,111,46,100,7,1.0,0.11,306,0,0.56,0.0,2.41,0.45,1.0,30,1
89,2024-05-11,96,22,Antibiotic,7,2,111,34,100,6,0.46,-0.07,392,0,2.86,0.3,3.26,0.35,1.0,8,1
90,2024-07-05,92,17,Cardiology,14,4,23,44,100,13,0.18,-0.03,217,0,0.1,0.0,0.52,0.56,1.0,38,1
91,2024-11-19,32,4,Oncology,4,3,138,37,75,59,0.67,0.14,219,0,2.01,0.0,3.73,0.86,1.0,13,1
92,2024-06-21,63,43,Cardiology,20,2,92,29,73,3,0.7,0.11,178,0,1.11,0.1,3.17,0.86,1.0,20,1
93,2024-03-24,11,6,Diabetes,16,2,84,58,100,4,0.66,-0.03,337,0,0.44,0.1,1.45,0.75,1.0,23,1
94,2024-08-17,93,2,Oncology,14,4,104,28,81,6,0.09,0.08,371,0,0.87,0.0,3.71,0.42,1.0,30,0
95,2024-04-02,59,49,Cardiology,4,2,64,25,96,43,0.39,0.11,475,0,0.6,0.1,2.56,0.26,1.0,30,1
96,2024-05-19,46,41,Antibiotic,8,2,81,23,80,15,0.78,0.01,151,0,0.85,0.4,3.52,0.28,1.0,29,1
97,2024-10-27,81,24,Cardiology,9,4,100,42,100,44,0.64,0.2,461,0,0.64,0.2,2.38,0.25,1.0,26,1
98,2024-11-04,21,40,Oncology,9,2,161,43,100,13,0.84,0.1,360,0,0.94,0.1,3.74,0.33,1.0,28,1
99,2024-07-02,72,15,Diabetes,1,1,172,49,100,5,0.89,0.11,410,0,3.07,0.0,3.51,0.73,1.0,8,1
100,2024-12-24,97,9,Painkiller,18,1,123,37,87,2,1.0,-0.03,361,0,2.33,0.0,3.32,0.12,1.0,10,0
101,2024-05-19,46,43,Cardiology,11,3,45,28,100,12,0.32,0.01,361,0,0.45,0.0,1.61,0.63,1.0,25,1
102,2024-12-29,54,11,Diabetes,20,1,80,26,54,1,1.0,0.18,115,0,1.44,0.1,3.08,0.28,1.0,15,1
103,2024-04-11,46,14,Diabetes,9,3,67,25,71,11,0.13,0.03,211,0,1.1,0.1,2.68,0.44,1.0,17,1
104,2024-10-17,40,18,Diabetes,19,1,34,30,100,79,0.87,0.05,283,0,0.57,0.2,1.13,0.17,1.0,14,1
105,2024-07-06,35,38,Painkiller,16,3,116,36,88,23,0.46,0.05,335,0,1.33,0.2,3.22,0.19,1.2,17,0
106,2024-08-29,34,40,Antibiotic,11,3,54,39,100,83,0.24,0.12,299,0,0.48,0.3,1.38,0.74,1.0,20,1
107,2024-05-31,84,34,Oncology,3,2,191,15,36,3,0.58,-0.0,335,0,5.57,0.5,12.73,0.39,1.0,16,1
108,2024-08-17,20,36,Cardiology,17,3,95,47,100,13,0.57,0.14,211,0,0.62,0.0,2.02,0.68,1.0,23,1
109,2024-12-14,79,47,Cardiology,17,3,31,37,78,11,0.52,-0.05,167,0,0.45,0.1,0.84,0.79,1.0,13,1
110,2024-09-08,85,4,Diabetes,10,3,191,53,100,4,0.41,-0.05,261,0,2.29,0.0,3.6,0.86,1.0,11,1
111,2024-08-16,72,42,Painkiller,18,2,159,62,100,14,0.13,0.06,405,0,8.98,0.0,2.56,0.24,1.2,2,0
112,2024-10-14,43,30,Diabetes,12,4,108,28,94,4,0.24,0.08,475,0,1.5,0.3,3.86,0.1,1.0,18,1
113,2024-09-24,25,15,Painkiller,19,3,92,35,100,89,0.3,-0.1,455,0,0.74,0.0,2.63,0.39,1.0,25,0
114,2024-05-21,27,24,Painkiller,18,1,2,42,88,61,0.79,0.15,340,0,0.02,0.1,0.05,0.81,1.0,21,1
115,2024-04-02,95,16,Antibiotic,2,4,134,64,100,14,0.54,-0.02,190,0,1.05,0.1,2.09,0.9,1.2,14,1
116,2024-12-01,24,18,Cardiology,8,2,156,33,100,76,0.67,0.03,215,0,1.65,0.2,4.73,0.84,1.0,20,1
117,2024-10-07,74,42,Painkiller,18,3,73,45,100,9,0.6,0.07,490,0,0.35,0.0,1.62,0.2,1.0,32,1
118,2024-05-12,89,10,Diabetes,9,2,63,67,100,39,0.66,-0.02,277,0,0.55,0.3,0.94,0.72,1.0,12,1
119,2024-03-06,49,16,Antibiotic,3,2,169,25,52,13,0.99,-0.05,167,0,2.06,0.2,6.76,0.59,1.2,23,1
120,2024-07-23,43,5,Diabetes,12,1,136,65,100,16,0.67,0.02,476,0,0.47,0.1,2.09,0.19,1.0,31,1
121,2024-11-21,54,29,Oncology,3,4,99,58,100,90,0.17,-0.02,238,0,0.85,0.2,1.71,0.55,1.0,14,1
122,2024-11-16,93,36,Painkiller,17,2,81,28,100,1,0.26,0.06,250,0,0.88,0.1,2.89,0.15,1.0,23,0
123,2024-02-02,59,40,Oncology,20,2,223,19,64,5,0.76,-0.02,499,0,3.73,0.0,11.74,0.89,1.0,22,1
124,2024-05-09,47,6,Oncology,9,1,128,27,59,13,0.53,0.18,491,0,1.01,0.6,4.74,0.89,1.0,33,1
125,2024-04-06,58,11,Oncology,12,2,153,5,20,69,0.56,0.16,237,0,8.57,0.3,30.6,0.58,1.0,25,0
126,2024-03-01,18,8,Cardiology,8,1,141,37,96,6,0.78,0.12,192,0,1.07,0.0,3.81,0.39,1.0,25,1
127,2024-06-19,36,16,Diabetes,11,2,122,67,100,55,0.22,0.17,129,0,0.61,0.3,1.82,0.69,1.0,21,1
128,2024-05-08,23,25,Painkiller,10,4,198,35,100,9,0.46,0.13,476,0,13.2,0.2,5.66,0.58,1.0,3,0
129,2024-12-21,90,20,Oncology,14,2,89,37,100,79,0.66,0.01,198,0,0.54,0.2,2.41,0.78,1.0,31,1
130,2024-04-07,74,27,Oncology,14,4,197,30,100,7,0.08,-0.02,384,0,1.48,0.3,6.57,0.77,1.0,31,1
131,2024-06-15,11,36,Oncology,10,3,138,5,20,1,0.27,0.1,115,0,8.78,0.1,27.6,0.43,1.0,22,0
132,2024-08-25,33,21,Diabetes,14,4,36,40,100,27,0.32,0.07,195,0,0.53,0.1,0.9,0.6,1.0,12,1
133,2024-11-03,65,19,Diabetes,6,1,56,57,100,5,0.86,0.15,492,0,0.36,0.0,0.98,0.58,1.0,19,1
134,2024-11-01,45,23,Painkiller,18,4,129,81,100,12,0.18,0.02,115,0,0.35,0.1,1.59,0.14,1.0,32,1
135,2024-07-09,5,42,Diabetes,17,3,104,41,100,2,0.25,-0.07,151,0,0.93,0.2,2.54,0.51,1.0,19,0
136,2024-01-19,72,19,Oncology,8,2,97,10,27,30,0.8,0.01,481,0,3.09,0.2,9.7,0.87,1.0,22,1
137,2024-08-04,55,9,Antibiotic,2,1,139,54,100,16,0.66,0.02,231,0,1.5,0.4,2.57,0.33,1.0,12,1
138,2024-01-09,29,9,Painkiller,12,3,36,34,84,60,0.65,0.08,283,0,0.35,0.3,1.06,0.57,1.0,21,1
139,2024-12-29,47,50,Painkiller,18,1,106,46,100,40,0.78,0.03,352,0,0.9,0.0,2.3,0.51,1.0,18,1
140,2024-08-24,73,49,Diabetes,13,2,33,28,61,84,0.54,0.06,390,0,0.59,0.2,1.18,0.17,1.0,14,1
141,2024-10-27,6,33,Oncology,6,3,57,22,79,6,0.26,0.03,168,0,18.14,0.2,2.59,0.5,1.0,1,0
142,2024-06-26,98,21,Painkiller,7,1,67,41,85,8,0.56,0.04,209,0,0.34,0.0,1.63,0.63,1.2,34,1
143,2024-12-03,22,29,Diabetes,12,1,126,27,72,66,0.6,0.2,222,0,0.99,0.2,4.67,0.12,1.0,33,1
144,2024-04-01,31,37,Antibiotic,1,3,121,75,100,40,0.26,0.16,202,0,1.41,0.2,1.61,0.41,1.2,8,1
145,2024-03-21,98,49,Diabetes,15,2,31,53,100,1,0.81,0.11,237,0,0.15,0.2,0.58,0.68,1.0,27,1
146,2024-05-11,92,4,Antibiotic,5,3,100,28,100,11,0.32,-0.03,159,0,1.09,0.5,3.57,0.43,1.0,23,1
147,2024-11-12,55,21,Diabetes,17,2,6,49,100,5,0.29,-0.03,220,0,0.04,0.1,0.12,0.22,1.0,21,1
148,2024-03-25,35,38,Cardiology,10,1,87,30,98,10,0.72,-0.0,487,0,1.13,0.1,2.9,0.12,1.0,18,1
149,2024-01-22,83,33,Diabetes,12,1,121,33,76,20,0.4,0.0,280,0,1.22,0.1,3.67,0.25,1.0,21,1
150,2024-06-02,40,22,Cardiology,16,2,129,32,99,2,0.66,0.11,339,0,0.91,0.2,4.03,0.71,1.0,31,1
151,2024-07-29,92,28,Painkiller,18,3,133,58,100,1,0.51,0.09,397,0,0.8,0.2,2.29,0.34,1.2,20,0
152,2024-09-29,25,25,Antibiotic,18,1,79,33,100,1,0.89,0.02,310,0,0.58,0.0,2.39,0.71,1.0,29,1
153,2024-08-17,56,43,Antibiotic,19,3,77,64,100,7,0.33,0.07,383,0,0.35,0.5,1.2,0.16,1.0,24,1
154,2024-05-09,4,26,Painkiller,18,3,131,47,100,11,0.56,-0.1,263,0,0.93,0.2,2.79,0.36,1.0,21,0
155,2024-03-03,89,2,Diabetes,4,3,201,39,100,39,0.82,0.1,155,0,1.39,0.3,5.15,0.59,1.0,26,1
156,2024-03-24,80,39,Painkiller,4,1,111,36,100,4,0.55,-0.02,398,0,1.08,0.1,3.08,0.38,1.0,20,1
157,2024-12-08,90,15,Diabetes,16,1,133,40,100,6,0.75,-0.07,202,0,1.55,0.3,3.33,0.3,1.0,15,1
158,2024-10-28,84,29,Antibiotic,12,3,155,29,100,32,0.59,-0.01,371,0,1.7,0.1,5.34,0.53,1.0,22,1
159,2024-05-29,70,19,Cardiology,18,2,208,8,20,15,0.51,0.0,439,0,18.2,0.1,26.0,0.23,1.0,10,0
160,2024-08-02,79,21,Antibiotic,7,3,56,19,39,88,0.3,-0.03,153,0,1.03,0.6,2.95,0.36,1.0,20,1
161,2024-12-11,46,1,Diabetes,17,2,76,37,87,5,0.65,-0.07,369,0,1.31,0.4,2.05,0.14,1.0,11,0
162,2024-07-15,6,20,Painkiller,5,1,120,44,100,5,0.8,0.12,136,0,1.36,0.2,2.73,0.64,1.2,14,1
163,2024-02-21,85,29,Diabetes,12,1,70,39,100,11,0.83,0.11,317,0,0.27,0.1,1.79,0.81,1.0,46,1
164,2024-04-02,67,45,Diabetes,3,3,61,47,100,18,0.61,0.18,365,0,0.48,0.2,1.3,0.88,1.0,19,1
165,2024-04-19,18,28,Cardiology,7,4,136,37,100,7,0.65,0.12,413,0,1.84,0.2,3.68,0.78,1.0,14,1
166,2024-05-24,79,25,Oncology,7,2,167,36,100,75,0.76,0.09,165,0,2.5,0.7,4.64,0.17,1.0,13,1
167,2024-06-25,50,13,Oncology,18,1,103,16,48,6,0.66,0.01,138,0,2.65,0.1,6.44,0.67,1.0,17,1
168,2024-04-15,69,41,Antibiotic,12,2,116,27,77,28,0.63,0.07,183,0,1.43,0.3,4.3,0.19,1.2,21,1
169,2024-02-22,28,32,Antibiotic,14,2,161,46,100,62,0.81,0.13,299,0,0.98,0.1,3.5,0.46,1.4,25,1
170,2024-01-13,79,36,Oncology,16,1,32,35,77,15,0.73,-0.09,382,0,0.34,0.3,0.91,0.53,1.0,19,1
171,2024-04-12,17,18,Cardiology,17,4,29,27,100,9,0.43,-0.06,274,0,0.42,0.3,1.07,0.86,1.0,18,1
172,2024-01-02,63,9,Cardiology,15,1,54,38,79,58,0.28,-0.05,492,0,0.3,0.0,1.42,0.75,1.0,33,1
173,2024-03-21,3,46,Oncology,10,4,145,15,57,81,0.55,0.16,355,0,3.76,0.2,9.67,0.32,1.0,18,1
174,2024-04-01,33,50,Cardiology,4,2,67,23,61,83,0.44,0.11,147,0,0.68,0.4,2.91,0.9,1.0,30,1
175,2024-03-14,62,14,Diabetes,15,1,5,24,65,74,0.38,-0.01,397,0,0.08,0.4,0.21,0.39,1.0,19,1
176,2024-04-28,65,47,Cardiology,13,4,143,26,93,2,0.02,0.19,327,0,2.96,0.5,5.5,0.9,1.0,13,1
177,2024-11-02,80,30,Antibiotic,5,2,68,40,88,59,0.75,0.05,155,0,1.08,0.1,1.7,0.58,1.2,11,1
178,2024-06-25,48,12,Antibiotic,2,3,22,53,100,1,0.44,-0.03,318,0,0.21,0.1,0.42,0.68,1.0,14,1
179,2024-10-17,53,42,Diabetes,10,1,194,43,100,47,0.89,0.03,234,0,5.26,0.4,4.51,0.87,1.0,6,1
180,2024-07-27,1,2,Antibiotic,16,2,79,38,100,3,0.91,-0.08,123,0,0.49,0.3,2.08,0.73,1.0,30,1
181,2024-12-14,61,43,Cardiology,12,2,116,20,48,79,0.81,-0.1,317,0,2.14,0.3,5.8,0.86,1.0,19,1
182,2024-02-21,43,34,Diabetes,2,1,99,48,100,13,0.74,0.07,495,0,0.76,0.2,2.06,0.34,1.0,19,1
183,2024-12-20,85,25,Painkiller,15,2,53,39,100,57,0.48,0.12,160,0,1.59,0.1,1.36,0.12,1.0,6,0
184,2024-10-20,8,32,Diabetes,8,4,63,67,100,9,0.13,0.16,443,0,6.58,0.5,0.94,0.6,1.0,1,1
185,2024-03-30,72,14,Oncology,19,3,56,33,100,13,0.43,0.09,440,0,0.57,0.3,1.7,0.76,1.0,21,1
186,2024-04-21,13,2,Antibiotic,16,2,122,42,100,5,0.54,-0.01,118,0,2.26,0.4,2.9,0.72,1.2,9,0
187,2024-03-27,51,6,Painkiller,9,3,170,39,100,11,0.38,-0.01,114,0,1.45,0.2,4.36,0.22,1.0,21,0
188,2024-05-24,38,39,Painkiller,11,4,41,46,100,15,0.25,0.03,338,0,0.31,0.2,0.89,0.54,1.0,20,1
189,2024-02-02,57,41,Antibiotic,16,2,53,65,100,7,0.25,0.13,190,0,0.44,0.2,0.82,0.8,1.4,13,1
190,2024-03-27,27,19,Oncology,18,2,36,16,62,7,0.84,0.17,412,0,1.31,0.4,2.25,0.54,1.0,12,1
191,2024-04-14,14,35,Oncology,6,3,113,28,66,6,0.16,0.04,481,0,2.57,0.4,4.04,0.71,1.0,11,1
192,2024-02-15,36,13,Cardiology,10,4,107,58,100,15,0.55,0.15,231,0,1.08,0.0,1.84,0.34,1.0,12,1
193,2024-07-04,8,22,Cardiology,15,3,199,35,100,1,0.53,-0.01,318,0,2.65,0.1,5.69,0.47,1.0,15,0
194,2024-05-23,82,7,Oncology,7,4,116,5,20,10,0.7,0.02,346,0,40.6,0.8,23.2,0.65,1.0,4,1
195,2024-07-27,54,29,Painkiller,5,1,142,38,100,7,0.81,-0.06,174,1,0.87,0.3,3.74,0.25,1.2,30,1
196,2024-05-26,9,30,Diabetes,5,2,108,57,100,58,0.38,-0.06,124,0,0.53,0.4,1.89,0.45,1.0,25,1
197,2024-06-10,39,44,Cardiology,14,1,145,35,82,10,0.71,-0.05,216,0,1.26,0.3,4.14,0.65,1.0,23,1
198,2024-05-09,97,3,Antibiotic,2,2,90,41,94,44,0.69,-0.01,245,0,0.73,0.6,2.2,0.19,1.0,21,1
199,2024-06-26,85,5,Diabetes,18,4,59,39,93,35,0.24,0.0,326,0,0.37,0.4,1.51,0.68,1.0,29,1
200,2024-10-14,9,19,Oncology,6,3,50,38,93,11,0.46,0.13,151,0,0.54,0.2,1.32,0.41,1.0,17,1
201,2024-04-30,21,24,Antibiotic,13,4,148,29,95,88,0.54,0.07,390,0,2.23,0.4,5.1,0.36,1.2,16,1
202,2024-10-16,83,2,Oncology,9,1,67,35,100,2,0.97,-0.1,319,0,0.52,0.3,1.91,0.29,1.0,26,1
203,2024-08-01,78,45,Painkiller,1,3,117,38,100,83,0.2,0.15,482,0,1.44,0.0,3.08,0.63,1.2,15,1
