id,category,text,keyword_count,sentiment,risk_score
27,demand_spike, Pharmacies in Alexandria reported issues with IV fluids. They cited surge and unusual. Additional concerns include demand.,3,-0.5,5.85
28,neutral_report,Routine updates from Canal cities showed no major issues for antibiotics.,0,0,0
29,neutral_report,Pharmacies in Upper Egypt reported stable availability of insulin this week.,0,0,0
30,contract_dispute,"In D3lta r3gion, asthma inhal3rs availability has dropp3d. R3ports m3ntion ... pricing and complications from disput3. Additional conc3rns includ3 d3lay.",1,0,1
31,labor_shortage,A w33kly r3port from Cairo conn3ct3d antiviral tabl3ts instability to turnov3r and strik3.,0,0,0
32,neutral_report,Pharmacies  in  coastal  governorates  reported  stable  availability  of  asthma  inhalers  this  week.,0,0,0
33,transport_issue,"In Canal cities, antihistamines availability has dropp ...ed. Reports mention bridge and complications from road.",2,-0.5,3
34,contract_dispute," IN UPPER EGYPT, PAINKILLERS AVAILABILITY HAS DROPPED. REPORTS MENTION NEGOTIATION AND COMPLICATIONS FROM DISPUTE.",2,-0.5,3
35,manufacturing_issue,"IN GIZA, ANTIHISTAMINES AVAILABILITY HAS DROPPED. REPORTS MENTION RAW MATERIAL AND COMPLICATIONS FROM DEFECT. ADDITIONAL CONCERNS INCLUDE MAINTENANCE.",3,-0.5,7.65
36,regulation_issue,"In n3w urban communiti3s, vitamins availability has dropp3d. R3ports m3ntion saf3ty and complications from bann3d. Additional conc3rns includ3 saf3ty. ",0,0,0
37,currency_issue,PHARMACIES IN ALEXANDRIA REPORTED ISSUES WITH ASTHMA INHALERS. THEY  ...CITED PAYMENT AND HARD CURRENCY. ADDITIONAL CONCERNS INCLUDE DOLLAR.,4,-1,12
38,supplier_problem,Pharmacies in Upper Egypt reported issues with vitamins. They cited under-performing and disruption.,2,-0.5,4.2
39,neutral_report,No significant disruptions were noted for vitamins in new urban communities.,0,0,0
40,supplier_problem,A weekly report from co@st@l governor@tes connected @sthm@ inh@lers inst@bility to supplier @nd l@te.,1,0,1.4
41,neutral_report,Pharmacies in new urban communities reported stable availability of cancer medicines this week.,0,0,0
42,demand_spike,A weekly report from new urb@n communities connected @ntico@gul@nts ins ...t@bility to short@ge @nd p@nic buying. Addition@l concerns include high.,1,0,1.3
43,storage_issue,A weekly report from Canal cities connected antibiotics instab ...ility to storage and leak. Additional concerns include storage.,3,-0.5,6.75
44,quality_control_issue,PHARMACIES  IN  COASTAL  GOVERNORATES  REPORTED  ISSUES  WITH  VITAMINS.  THEY  CITED  CONTAMINATION  AND  TEST.,2,-0.5,5.4
45,neutral_report,SUPPLY L3V3LS FOR INSULIN IN CAIRO R3MAIN3D NORMAL.,0,0,0
46,currency_issue, A weekly report from new urban communities connected anticoagulants instability to price and currency. Additional concerns include price.,3,-0.5,6.75
47,manufacturing_issue,Pharmaci3s in Al3xandria r3port3d issu3s with insulin. Th3y cit3d shutdown and factory. Additional conc3rns includ3 maint3nanc3.??,2,-0.5,5.1
48,manufacturing_issue,"in c@iro, or@l rehydr@tion s@lts @v@il@bility h@s dropped. reports mention r@w m@teri@l @nd complic@tions from defect. addition@l concerns include production.",2,-0.5,5.1
49,supplier_problem, A WEEKLY REPORT FROM CAIRO CONNECTED BLOOD PRESSURE DRUGS INSTABILITY TO DISRUPTION AND SUPPLIER. ADDITIONAL CONCERNS INCLUDE SUPPLIER.,3,-0.5,6.3
50,neutral_report, pharmacies in giza reported stable availability of painkillers this week.,0,0,0
51,neutral_report,supply levels for painkillers in upper egypt remained normal.,0,0,0
52,currency_issue,Pharmacies in Canal cities reported issues with vitamins. They cited price and reserve.,2,-0.5,4.5
53,neutral_report,No significant disruptions were noted for anticoagulants in Giza.,0,0,0
54,forecasting_error,"IN GIZA, BLOOD PRESSURE DRUGS AVAILABILITY HAS DROPPED. REPORTS MENTION PLANNING AND COMPLICATIONS FROM PROJECTION. ADDITIONAL CONCERNS INCLUDE PROJECTION.",3,-0.5,4.05
55,seasonal_variation,"In Cairo, antibiotics availability has dropped. Reports mention winter and complications from virus. Additional concerns include trend.",3,-0.5,3.15
56,neutral_report, Pharmacies in Alexandria reported stable availability of children's syrup this week.,0,0,0
57,transport_issue,Pharmacies in Alexandria reported issues with antidepressants. They cited accident and detour. ,2,-0.5,3
58,neutral_report,Supply levels for children's syrup in Upper Egypt remained normal.,0,0,0
59,currency_issue,A WEEKLY REPORT FROM ALEXANDRIA CONNECTED ANTIBIOTICS INSTABILITY TO CURRENCY AND DEVALUATION. ADDITIONAL CONCERNS INCLUDE PAYMENT.,3,-0.5,6.75
60,distribution_center_issue,Pharmacies in Canal cities reported issues with vitamins. They cited capacity and distribution center.,2,-0.5,3.6
61,forecasting_error,"In Cairo, blood pressure drugs availability has dropped. Reports mention planning and complications from forecast. Additional concerns include trend.",3,-0.5,4.05
62,transport_issue,PHARMACIES IN NEW URBAN COMMUNITIES REPORTED ISSUES WITH IV FLUIDS. THEY CITED ACCIDENT AND BLOCKED. ADDITIONAL CONCERNS INCLUDE ROUTE.??,3,-0.5,4.5
63,it_system_failure,Pharmacies in Delta region reported issues with vitamins. They cited crash and software. Additional concerns include software.,3,-0.5,3.6
64,storage_issue,pharmacies in canal cities reported issues with antidepressants. they cited storage and mold.,2,-0.5,4.5
65,regulation_issue,A weekly report from new urban communities connected painkillers instability to safety and warning.,2,-0.5,4.8
66,supplier_problem,A weekly report from new urban communities connected antidepressants instability to supplier and disruption. Additional concerns include late.,3,-0.5,6.3
67,neutral_report,Supply levels for vitamins in Giza remained normal.,0,0,0
68,neutral_report,Supply levels for anticoagulants ... in Delta region remained normal.,0,0,0
69,import_delay,"In coastal governorates, antiviral tablets availability has dropped. Reports mention delay and complications from stuck. Additional concerns include queue.",4,-1,9.6
70,quality_control_issue,PHARMACIES IN NEW URBAN COMMUNITIES REPORTED ISSUES WITH VITAMINS. THEY CITED OUT OF SPEC AND CONTAMINATION. ADDITIONAL CONCERNS INCLUDE FAILED.,3,-0.5,8.1
71,regulation_issue,"In  Upper  Egypt,  oral  rehydration  salts  availability  has  dropped.  Reports  mention  new  rules  and  complications  from  penalty.  Additional  concerns  include  inspection.",2,-0.5,4.8
72,currency_issue,"In Delta region, antiviral tablets availability has dropped. ... Reports mention devaluation and complications from exchange.",2,-0.5,4.5
73,quality_control_issue,pharmacies in coastal governorates reported issues with blood pressure drugs. they cited defect and out of spec.,2,-0.5,5.4
74,supplier_problem,A weekly report from Alexandria connected blood pressure drugs instability to disruption and late. Additional concerns include under-performing.,3,-0.5,6.3
75,quality_control_issue," In new urban communities, insulin availability has dropped. Reports mention investigation and complications from defect.",3,-0.5,8.1
76,neutral_report,Reports from new urban communities indicated stable distribution of oral rehydration salts.,0,0,0
77,neutral_report,REPORTS FROM ALEXANDRIA INDICATED STA ...BLE DISTRIBUTION OF ANTIVIRAL TABLETS.,0,0,0
78,manufacturing_issue,"In coastal governorates, vitamins availability has dropped. Reports mention repair and complications from interruption. Additional concerns include raw material.",3,-0.5,7.65
79,import_delay,A WEEKLY REPORT FROM DELTA REGION CONNECTED INSULIN INSTABILITY TO DELAY AND CUSTOMS. ,3,-0.5,5.4
80,currency_issue,Pharmacies in Delta region reported issues with insulin. They cited bank and currency.,2,-0.5,4.5
81,storage_issue,"In Giza, asthma inhalers availability has dropped. Reports mention power cut and complications from expired.",2,-0.5,4.5
82,forecasting_error,A weekly report from coastal governorates connected anticoagulants instability to overestimated and estimate. Additional concerns include overestimated.,5,-1,9
83,import_delay,Pharmacies in Cairo reported issues with anticoagulants. They cited stuck and container.,3,-0.5,5.4
84,currency_issue,a weekly report from giza connected antibiotics instability to price and hard currency.,3,-0.5,6.75
85,neutral_report,Routine updates from Giza showed no major issues for blood pressure drugs.,0,0,0
86,import_delay,"In Upper Egypt, @ntihist@mines @v@il@bility h@s dropped. Reports mention customs @nd complic@tions from hold. Addition@l concerns include stuck. ",4,-1,9.6
87,forecasting_error,"In Cairo, antihistamines availability has dropped. Reports mention model and complications from unexpected. Additional concerns include planning.",3,-0.5,4.05
88,neutral_report,Pharmaci3s in Canal citi3s r3port3d stabl3 availability of antibiotics this w33k.,0,0,0
89,manufacturing_issue,A WEEKLY REPORT FROM CAIRO CONNECTED CHILDREN'S SYRUP INSTABILI ...TY TO BREAKDOWN AND FACTORY. ADDITIONAL CONCERNS INCLUDE BATCH.,3,-0.5,7.65
90,it_system_failure,"In Canal cities, children's syrup availability has dropped. Reports mention server and complications from data. Additional concerns include error.",3,-0.5,3.6
91,manufacturing_issue,"In  Giza,  antidepressants  availability  has  dropped.  Reports  mention  capacity ...  and  complications  from  breakdown.  Additional  concerns  include  interruption.",3,-0.5,7.65
92,quality_control_issue,A  WEEKLY  REPORT  FROM  DELTA  REGION  CONNECTED  ANTIDEPRESSANTS  INSTABILITY  TO  LAB  AND  INVESTIGATION.  ADDITIONAL  CONCERNS  INCLUDE  CONTAMINATION.,3,-0.5,8.1
93,forecasting_error,"In Delta region, antidepressants availability has dropped. Reports mention estimate and complications from underestimated. Additional concerns include miscalculated.",4,-1,7.2
94,it_system_failure,Ph@rm@cies in C@n@l cities reported issues with @ntico@gul@nts. They cited system @nd upd@te. Addition@l concerns include network.,2,-0.5,2.4
95,currency_issue,"IN NEW URBAN COMMUNITIES, CANCER MEDICINES AVAILABILITY HAS DROPPED. REPORTS MENTION CURRENCY AND COMPLICATIONS FROM DOLLAR. ADDITIONAL CONCERNS INCLUDE CURRENCY.",3,-0.5,6.75
96,neutral_report,Pharmacies in new urban communities reported stable availability of antidepressants this week.,0,0,0
97,neutral_report, No significant disruptions were noted for antibiotics in coastal governorates.,0,0,0
98,seasonal_variation, A  weekly  report  from  Canal  cities  connected  vitamins  instability  to  summer  and  trend.,2,-0.5,2.1
99,quality_control_issue,"In  new  urban  communities,  antibiotics  availability  has  dropped.  Reports  mention  lab  and  complications  from  nonconformity.  Additional  concerns  include  contamination.",4,-1,14.4
100,demand_spike,Ph@rm@ci3s in Upp3r Egypt r3port3d issu3s with @sthm@ inh@l3rs. Th3y cit3d p@nic buying @nd spik3. Addition@l conc3rns includ3 unusu@l.,0,0,0
101,supplier_problem,Ph@rm@cies in Delt@ region reported issues with or@l rehydr@tion s@lts. They cited c@ncelled @nd c@p@city. Addition@l concerns include c@p@city.,0,0,0
102,contract_dispute,Pharmacies in Upper Egypt reported issues with antidepressants. They cited renewal and negotiation. Additional concerns include renewal.,3,-0.5,4.5
103,neutral_report,Supply levels for antibiotics in Delta region remained normal. ,0,0,0
104,currency_issue,"In Giza, antibiotics availability has dropped. Reports mention payment and complications from hard currency.",3,-0.5,6.75
105,import_delay,a  weekly  report  from  coastal  governorates  connected  oral  rehydration  salts  instability  to  import  and  queue.  additional  concerns  include  container.,5,-1,12
106,supplier_problem,A weekly report from Canal cities connected antihistamines instability to disruption and missed.,2,-0.5,4.2
107,neutral_report,No significant disruptions were noted for asthma inhalers in Delta region.,0,0,0
108,neutral_report,Pharmacies in coastal governorates reported st ...able availability of antihistamines this week.,0,0,0
109,contract_dispute,Pharmacies in Alexandria reported issues with antibiotics. They cited pricing and terms. Additional concerns include clause.??,3,-0.5,4.5
110,quality_control_issue,pharmacies in upper egypt reported issues with antidepressants. they cited quality and investigation. additional concerns include failed.??,3,-0.5,8.1
111,demand_spike,"In Canal cities, asthma inhalers availability has dropped. Reports mention sudden and complications from spike.",2,-0.5,3.9
112,it_system_failure,"In Alexandria, IV fluids availability has dropped. Reports mention login and complications from update. Additional concerns include login.",3,-0.5,3.6
113,seasonal_variation,"In Upper Egypt, or@l rehydr@tion s@lts @v@il@bility h@s dropped. Reports mention summer @nd complic@tions from holid@y. ",1,0,0.7
114,import_delay,Pharmacies in Alexandria reported issues with insulin. They cited stuck and inspection.,3,-0.5,5.4
115,forecasting_error,"In Canal citi3s, oral r3hydration salts availability has dropp3d. R3ports m3ntion for3cast and complications from miscalculat3d. Additional conc3rns includ3 assumption.??",1,0,0.9
116,contract_dispute,Pharmacies in Giza reported issues with antihistamines. They cited disagreement and pricing. Additional concerns include pricing.,3,-0.5,4.5
117,neutral_report,Ph@rm@cies in C@n@l cities reported st@ble @v@il@bility of @ntico@gul@nts this week.,0,0,0
118,quality_control_issue,A w33kly r3port from Canal citi3s conn3ct3d chil ...dr3n's syrup instability to out of sp3c and t3st.,0,0,0
119,neutral_report,Routine updates from Cairo showed no major issues for antidepressants.,0,0,0
120,storage_issue,Ph@rm@cies in new urb@n communities reported issues with insulin. They cited le@k @nd stor@ge. Addition@l concerns include spoil@ge.,0,0,0
121,demand_spike,Pharmacies in Alexandria reported issues with antihistamines. They cited increase and peak. Additional concerns include unusual.,3,-0.5,5.85
122,labor_shortage,Pharmaci3s in Giza r3port3d issu3s with antibiotics. Th3y cit3d training and shift.,2,-0.5,3.3
123,contract_dispute,Pharmacies in Canal cities reported issues with vitamins. They cited clause and delay. Additional concerns include cancellation. ??,3,-0.5,4.5
124,currency_issue,Pharmacies in Giza reported issues with children's syrup. They cited inflation and foreign. Additional concerns include devaluation.,3,-0.5,6.75
125,neutral_report, Supply levels for antiviral tablets in new urban communities remained normal.,0,0,0
126,neutral_report, Supply levels for vitamins in new urban communities remained normal.,0,0,0
127,storage_issue,A  WEEKLY  REPORT  FROM  CAIRO  CONNECTED  ASTHMA  INHALERS  INSTABILITY  TO  STORAGE  AND  CONTAMINATION.  ADDITIONAL  CONCERNS  INCLUDE  EXPIRED.,3,-0.5,6.75
128,forecasting_error,"In Cairo, blood pressure drugs availability has dropped. Reports mention miscalculated and complications from forecast. Additional concerns include projection.",3,-0.5,4.05
129,labor_shortage,"In  D3lta  r3gion,  painkill3rs  availability  has  dropp3d.  R3ports  m3ntion  r3signations  and  complications  from  sick  l3av3.",0,0,0
130,neutral_report,Supply l3v3ls for anticoagulants ... in D3lta r3gion r3main3d normal.,0,0,0
131,it_system_failure, PHARMACIES IN COASTAL GOVERNORATES REPORTED ISSUES WITH ANTICOAGULANTS. THEY CITED OFFLINE AND BUG.,2,-0.5,2.4
132,quality_control_issue,A  weekly  report  from  Alexandria  connected  antidepressants  instability  to  investigation  and  failed.??,2,-0.5,5.4
133,import_delay,"In coastal governorates, antidepressants availability has dropped. Reports mention inspection and complications from clearance.",3,-0.5,5.4
134,it_system_failure,A WEEKLY REPORT FROM COASTAL GOVERNORATES CONNECTED ANTIHISTAMINES INSTABILITY TO CRASH AND SYSTEM.,2,-0.5,2.4
135,manufacturing_issue,Pharmacies in new urban communities reported issues ... with antibiotics. They cited production and defect.,2,-0.5,5.1
136,neutral_report,No significant disruptions were noted for antiviral tablets in Delta region.,0,0,0
137,manufacturing_issue,A weekly report from Alex@ndri@ connected @ntivir@l t@blets inst@bility to rep@ir @nd defect.??,1,0,1.7
138,quality_control_issue, A weekly report from Giza connected IV f ...luids instability to impurity and failed.,2,-0.5,5.4
139,neutral_report,Reports from Upper Egypt indicated stable distribution of cancer medicines.,0,0,0
140,seasonal_variation,"In new urban communities, vitamins availability has dropped. Reports mention wave and complications from winter.",2,-0.5,2.1
141,neutral_report,NO SIGNIFICANT DISRUPTIONS WERE NOTED FOR INSULIN IN DELTA REGION.,0,0,0
142,labor_shortage,"In Upp3r Egypt, antibiotics availability has dropp3d. R3 ...ports m3ntion vacancy and complications from sick l3av3.",1,0,1.1
143,forecasting_error,Pharmacies in Delta region reported issues with painkillers. They cited unexpected and assumption. ,2,-0.5,2.7
144,distribution_center_issue,pharmacies  in  cairo  reported  issues  with  insulin.  they  cited  hub  and  bottleneck.,2,-0.5,3.6
145,neutral_report, Reports from Alexandria indicated stable distribution of asthma inhalers. ,0,0,0
146,distribution_center_issue,"In Upper Egypt, IV fluids availability has dropped. Reports mention backlog and complications from operations.",2,-0.5,3.6
147,quality_control_issue,A  WEEKLY  REPORT  FROM  GIZA  CONNECTED  BLOOD  PRESSURE  DRUGS  INSTABILITY  TO  LAB  AND  TEST.,2,-0.5,5.4
148,labor_shortage, A weekly report from Alexandria connected children's syrup instability to strike and training. Additional concerns include shortage.,3,-0.5,4.95
149,quality_control_issue,A weekly report from Canal cities connected children's syrup instability to defect and nonconformity. Additional concerns include out of spec.,3,-0.5,8.1
150,contract_dispute,"In new urb@n communities, vit@mins @v@il@bility h@s dropped. Reports mention renew@l @nd complic@tions from negoti@tion.",0,0,0
151,distribution_center_issue,A weekly report from Cairo connected insulin instability to slowdown and backlog. ,2,-0.5,3.6
152,storage_issue,A weekly report from Canal cities connected children's syrup instability to temperature and humidity. Additional concerns include expired.,3,-0.5,6.75
153,regulation_issue,Pharmaci3s in D3lta r3gion r3port3d issu3s with IV fluids. Th3 ...y cit3d bann3d and p3nalty. Additional conc3rns includ3 bann3d.,0,0,0
154,forecasting_error,A weekly report from new urban communities connected oral rehydration salts instability to estimate and scenario.??,2,-0.5,2.7
155,quality_control_issue,Pharmacies in Upper Egypt reported issues with blood pressure drugs. They cited out of spec and failed. Additional concerns include quality.,3,-0.5,8.1
156,distribution_center_issue, A weekly report from Upper Egypt connected blood pressure drugs instability to slowdown and loading. Additional concerns include operations.,3,-0.5,5.4
157,contract_dispute,"IN CAIRO, ANTIHISTAMINES AVAILABILITY HAS DROPPED. REPORTS MENTION CLAUSE AND COMPLICATIONS FROM RENEWAL. ADDITIONAL CONCERNS INCLUDE PENALTY.",3,-0.5,4.5
158,supplier_problem,Ph@rm@cies in Alex@ndri@ reported issues with blood pressure drugs. They cited c@p@city @nd missed. Addition@l concerns include disruption.,2,-0.5,4.2
159,labor_shortage,"IN COASTAL GOVERNORATES, IV FLUIDS AVAILABILITY HAS DROPPED. REPORTS MENTION STAFF AND COMPLICATIONS FROM LABOR. ADDITIONAL CONCERNS INCLUDE SICK LEAVE.",3,-0.5,4.95
160,forecasting_error, A weekly report from coastal governorates connected insulin instability to miscalculated and projection.??,2,-0.5,2.7
161,seasonal_variation,"In Upper Egypt, IV fluids @v@il@bility h@s dropped. Reports mention virus @nd complic@tions from se@son.",2,-0.5,2.1
162,distribution_center_issue,"In Upper Egypt, @ntidepress@nts @v@il@bility h@s dropped. Reports mention distribution center @nd complic@tions from hub. Addition@l concerns include oper@tions.",2,-0.5,3.6
163,neutral_report,reports from c@iro indic@ted st@ble distribution of vit@mins.,0,0,0
164,seasonal_variation, Pharmacies in Upper Egypt reported issues with insulin. They cited summer and seasonal. Additional concerns include season.,4,-1,5.6
165,demand_spike,Ph@rm@cies in C@iro reported issues with @ntidepress@nts. They cited sudden @nd dem@nd. Addition@l concerns include high.,2,-0.5,3.9
166,currency_issue,A weekly report from coastal governorates connected oral rehydration salts instability to price and currency. Additional concerns include foreign.,4,-1,12
167,import_delay,"In Upper Egypt, painkillers availability has dropped. Reports mention ho ...ld and complications from customs. Additional concerns include shipment. ",3,-0.5,5.4
168,forecasting_error,  Pharmacies in coastal governorates reported issues with oral rehydration salts. They cited underestimated and estimate.,3,-0.5,4.05
169,manufacturing_issue,Ph@rm@cies in C@n@l cities reported issues with @ntibiotics. They cited bre@kdown @nd production. Addition@l concerns include line.??,2,-0.5,5.1
170,neutral_report,Pharmacies in Upper Egypt reported stable availability of IV fluids this week.,0,0,0
171,import_delay,A weekly report from Delta region connected vitamins instability to dock and container.,3,-0.5,5.4
172,supplier_problem," In Cairo, painkillers availability has dropped. Reports mention disruption and complications from capacity. Additional concerns include under-performing.",3,-0.5,6.3
173,quality_control_issue,Pharmacies in Delta region reported issues with painkillers. T ...hey cited quality and defect. Additional concerns include lab.,3,-0.5,8.1
174,neutral_report,Reports from Canal cities indicated stable distribution of IV fluids.,0,0,0
175,currency_issue,"In Alexandria, antibiotics availability has dropped. Reports mention price and complications from hard currency. Additional concerns include payment.",4,-1,12
176,it_system_failure,Pharmacies in Delta region reported issues with asthma inhalers. They cited bug and data. Additional concerns include software. ,3,-0.5,3.6
177,demand_spike,"In Giza, cancer medicines availability has dropped. Reports mention shortage and complications from peak.",2,-0.5,3.9
178,currency_issue, A  weekly  report  from  Canal  cities  connected  IV  fluids  instability  to  price  and  inflation.,2,-0.5,4.5
179,demand_spike,a  weekly  report  from  cairo  connected  children's  syrup  instability  to  unusual  and  spike.,2,-0.5,3.9
180,manufacturing_issue,"In co@st@l governor@tes, blood pressure drugs @v@il@bility h@s dropped. Reports mention rep@ir @nd complic@tions from m@inten@nce. Addition@l concerns include shutdown.",1,0,1.7
181,regulation_issue,pharmacies in cairo reported issues with insulin. they cited penalty and warning. additional concerns include banned.,3,-0.5,7.2
182,labor_shortage,"in alexandria, insulin availability has dropped. reports mention staff and complications from resignations. additional concerns include turnover.??",3,-0.5,4.95
183,neutral_report,Supply levels for blood pressure drugs in coastal governorates remained normal.,0,0,0
184,regulation_issue,"In Cairo, antid3pr3ssants availability has dropp3d. R3ports m3ntion lic3ns3 and complications from r3call.",0,0,0
185,quality_control_issue,"In  Canal  cities,  IV  fluids  availability  has  dropped.  Reports  mention  complaint  and  complications  from  test.  Additional  concerns  include  nonconformity.??",4,-1,14.4
186,labor_shortage,A weekly report from Delta region connected blood pressure drugs instability to strike and sick leave.,2,-0.5,3.3
187,demand_spike,"IN GIZA, ANTIHISTAMINES AVAILABILITY HAS DROPPED. REPORTS MENTION HIGH AND COMPLICATIONS FROM DEMAND. ",2,-0.5,3.9
188,supplier_problem,A weekly report from Giz@ connected p@inkillers inst@bility to c@ncelled @nd c@p@city. Addition@l concerns include supplier. ,1,0,1.4
189,neutral_report,Ph@rm@ci3s in C@iro r3port3d st@bl3 @v@il@bility of @ntibiotics this w33k.,0,0,0
190,supplier_problem,Pharmacies in Upper Egypt reported issues with oral rehydration salts. They cited late and under-performing.,2,-0.5,4.2
191,seasonal_variation,a weekly report from canal cities connected insulin instabil ...ity to holiday and winter. additional concerns include trend.,3,-0.5,3.15
192,manufacturing_issue,A weekly report from new urban communities connected oral rehydration salts instability to production and factory. Additional concerns include repair.,3,-0.5,7.65
193,supplier_problem,A weekly report from Delta region connected antiviral tablets instability to backlog and under-performing. Additional concerns include missed.,3,-0.5,6.3
194,regulation_issue,A weekly report from coastal governorates connected antiviral tablets instability to warning and approval. Additional concerns include inspection.,3,-0.5,7.2
195,import_delay,Pharmacies in Alexandria reported issues with children's syrup. They cited import and customs. Additional concerns include inspection.,5,-1,12
196,seasonal_variation,Pharmacies in Delta region reported issues with antiviral tablets. They cited festive and trend. Additional concerns include trend.,3,-0.5,3.15
197,forecasting_error,"In  coastal  governorates,  cancer  medicines  availability  has  dropped.  Reports  mention  planning  and  complications  from  underestimated.  Additional  concerns  include  projection.",4,-1,7.2
198,manufacturing_issue,A weekly report from Giza connected insulin instability to factory and breakdown.,2,-0.5,5.1
199,demand_spike,Pharmacies in Delta region reported issues with anticoagulants. They cited demand and shortage. Additional concerns include demand.,3,-0.5,5.85
200,demand_spike,Ph@rm@cies in co@st@l governor@tes reported issues with vit@mins. They cited surge @nd dem@nd. Addition@l concerns include high. ,2,-0.5,3.9
201,seasonal_variation,"In Upper Egypt, painkillers availability has dropped. Reports mention flu and complications from cold. Additional concerns include festive.",3,-0.5,3.15
202,supplier_problem,A weekly report from Upper Egypt connected child ...ren's syrup instability to missed and unreliable.,2,-0.5,4.2
203,manufacturing_issue,A weekly report from Upper Egypt connected antiviral tablets instability to repair and shutdown.,2,-0.5,5.1
204,neutral_report,No significant disruptions were noted f ...or blood pressure drugs in Delta region.,0,0,0
205,storage_issue,A    weekly    report    from    Giza    connected    vitamins    instability    to    temperature    and    fridge.,2,-0.5,4.5
206,neutral_report,Pharmacies in Alexandria reported stab ...le availability of IV fluids this week.,0,0,0
207,neutral_report,Supply levels for blood pressure drugs in Alexandria remained normal. ,0,0,0
208,distribution_center_issue,Pharmacies in new urban communities reported issues with blood pressure drugs. They cited loading and slowdown. Additional concerns include queue.,3,-0.5,5.4
209,seasonal_variation,"In new urban communities, blood pressure drugs availability has dropped. Reports mention allergy and complications from heat.",2,-0.5,2.1
210,demand_spike,pharmacies in cairo reported issues with antihistamines. they cited demand and peak. additional concerns include rush.??,3,-0.5,5.85
211,seasonal_variation,A weekly report from Alexandria connected blood pressure drugs instability to seasonal and wave. Additional concerns include virus.,4,-1,5.6
212,it_system_failure,A w33kly r3port from Cairo conn3ct3d oral r3hydration salts instability to n3twork and slow. Additional conc3rns includ3 offlin3.,1,0,0.8
213,currency_issue,A w33kly r3port from coastal gov3rnorat3s conn3ct3d antibiotics instability to bank and 3xchang3.,1,0,1.5
