,id,category,text,keyword_count,sentiment,risk_score,location,clean_text,keyword_count_clean
19,20,currency_issue,Pharmacies in Alexandria reported issues with oral rehydration salts. They cited foreign and reserve.,2,-0.5,4.5,Alexandria,pharmacies in alexandria reported issues with oral rehydration salts they cited foreign and reserve,1
21,22,neutral_report,Supply levels for blood pressure dr ...ugs in Upper Egypt remained normal.,0,0.0,0.0,Upper,supply levels for blood pressure dr ugs in upper egypt remained normal,0
26,27,demand_spike, Pharmacies in Alexandria reported issues with IV fluids. They cited surge and unusual. Additional concerns include demand.,3,-0.5,5.85,Alexandria, pharmacies in alexandria reported issues with iv fluids they cited surge and unusual additional concerns include demand,1
28,29,neutral_report,Pharmacies in Upper Egypt reported stable availability of insulin this week.,0,0.0,0.0,Upper,pharmacies in upper egypt reported stable availability of insulin this week,0
37,38,supplier_problem,Pharmacies in Upper Egypt reported issues with vitamins. They cited under-performing and disruption.,2,-0.5,4.2,Upper,pharmacies in upper egypt reported issues with vitamins they cited underperforming and disruption,1
38,39,neutral_report,No significant disruptions were noted for vitamins in new urban communities.,0,0.0,0.0,new,no significant disruptions were noted for vitamins in new urban communities,0
40,41,neutral_report,Pharmacies in new urban communities reported stable availability of cancer medicines this week.,0,0.0,0.0,new,pharmacies in new urban communities reported stable availability of cancer medicines this week,0
46,47,manufacturing_issue,Pharmaci3s in Al3xandria r3port3d issu3s with insulin. Th3y cit3d shutdown and factory. Additional conc3rns includ3 maint3nanc3.??,2,-0.5,5.1,Al,pharmacis in alxandria rportd issus with insulin thy citd shutdown and factory additional concrns includ maintnanc,0
47,48,manufacturing_issue,"in c@iro, or@l rehydr@tion s@lts @v@il@bility h@s dropped. reports mention r@w m@teri@l @nd complic@tions from defect. addition@l concerns include production.",2,-0.5,5.1,c,in ciro orl rehydrtion slts vilbility hs dropped reports mention rw mteril nd complictions from defect additionl concerns include production,0
49,50,neutral_report, pharmacies in giza reported stable availability of painkillers this week.,0,0.0,0.0,giza, pharmacies in giza reported stable availability of painkillers this week,0
50,51,neutral_report,supply levels for painkillers in upper egypt remained normal.,0,0.0,0.0,upper,supply levels for painkillers in upper egypt remained normal,0
51,52,currency_issue,Pharmacies in Canal cities reported issues with vitamins. They cited price and reserve.,2,-0.5,4.5,Canal,pharmacies in canal cities reported issues with vitamins they cited price and reserve,1
52,53,neutral_report,No significant disruptions were noted for anticoagulants in Giza.,0,0.0,0.0,Giza,no significant disruptions were noted for anticoagulants in giza,0
55,56,neutral_report, Pharmacies in Alexandria reported stable availability of children's syrup this week.,0,0.0,0.0,Alexandria, pharmacies in alexandria reported stable availability of childrens syrup this week,0
56,57,transport_issue,Pharmacies in Alexandria reported issues with antidepressants. They cited accident and detour. ,2,-0.5,3.0,Alexandria,pharmacies in alexandria reported issues with antidepressants they cited accident and detour ,1
57,58,neutral_report,Supply levels for children's syrup in Upper Egypt remained normal.,0,0.0,0.0,Upper,supply levels for childrens syrup in upper egypt remained normal,0
59,60,distribution_center_issue,Pharmacies in Canal cities reported issues with vitamins. They cited capacity and distribution center.,2,-0.5,3.6,Canal,pharmacies in canal cities reported issues with vitamins they cited capacity and distribution center,1
62,63,it_system_failure,Pharmacies in Delta region reported issues with vitamins. They cited crash and software. Additional concerns include software.,3,-0.5,3.6,Delta,pharmacies in delta region reported issues with vitamins they cited crash and software additional concerns include software,1
63,64,storage_issue,pharmacies in canal cities reported issues with antidepressants. they cited storage and mold.,2,-0.5,4.5,canal,pharmacies in canal cities reported issues with antidepressants they cited storage and mold,1
66,67,neutral_report,Supply levels for vitamins in Giza remained normal.,0,0.0,0.0,Giza,supply levels for vitamins in giza remained normal,0
67,68,neutral_report,Supply levels for anticoagulants ... in Delta region remained normal.,0,0.0,0.0,Delta,supply levels for anticoagulants  in delta region remained normal,0
72,73,quality_control_issue,pharmacies in coastal governorates reported issues with blood pressure drugs. they cited defect and out of spec.,2,-0.5,5.4,coastal,pharmacies in coastal governorates reported issues with blood pressure drugs they cited defect and out of spec,1
74,75,quality_control_issue," In new urban communities, insulin availability has dropped. Reports mention investigation and complications from defect.",3,-0.5,8.1,availability, in new urban communities insulin availability has dropped reports mention investigation and complications from defect,0
79,80,currency_issue,Pharmacies in Delta region reported issues with insulin. They cited bank and currency.,2,-0.5,4.5,Delta,pharmacies in delta region reported issues with insulin they cited bank and currency,1
82,83,import_delay,Pharmacies in Cairo reported issues with anticoagulants. They cited stuck and container.,3,-0.5,5.4,Cairo,pharmacies in cairo reported issues with anticoagulants they cited stuck and container,1
87,88,neutral_report,Pharmaci3s in Canal citi3s r3port3d stabl3 availability of antibiotics this w33k.,0,0.0,0.0,Canal,pharmacis in canal citis rportd stabl availability of antibiotics this wk,0
93,94,it_system_failure,Ph@rm@cies in C@n@l cities reported issues with @ntico@gul@nts. They cited system @nd upd@te. Addition@l concerns include network.,2,-0.5,2.4,C,phrmcies in cnl cities reported issues with nticogulnts they cited system nd updte additionl concerns include network,1
95,96,neutral_report,Pharmacies in new urban communities reported stable availability of antidepressants this week.,0,0.0,0.0,new,pharmacies in new urban communities reported stable availability of antidepressants this week,0
96,97,neutral_report, No significant disruptions were noted for antibiotics in coastal governorates.,0,0.0,0.0,coastal, no significant disruptions were noted for antibiotics in coastal governorates,0
99,100,demand_spike,Ph@rm@ci3s in Upp3r Egypt r3port3d issu3s with @sthm@ inh@l3rs. Th3y cit3d p@nic buying @nd spik3. Addition@l conc3rns includ3 unusu@l.,0,0.0,0.0,Upp,phrmcis in uppr egypt rportd issus with sthm inhlrs thy citd pnic buying nd spik additionl concrns includ unusul,0
100,101,supplier_problem,Ph@rm@cies in Delt@ region reported issues with or@l rehydr@tion s@lts. They cited c@ncelled @nd c@p@city. Addition@l concerns include c@p@city.,0,0.0,0.0,Delt,phrmcies in delt region reported issues with orl rehydrtion slts they cited cncelled nd cpcity additionl concerns include cpcity,1
101,102,contract_dispute,Pharmacies in Upper Egypt reported issues with antidepressants. They cited renewal and negotiation. Additional concerns include renewal.,3,-0.5,4.5,Upper,pharmacies in upper egypt reported issues with antidepressants they cited renewal and negotiation additional concerns include renewal,1
102,103,neutral_report,Supply levels for antibiotics in Delta region remained normal. ,0,0.0,0.0,Delta,supply levels for antibiotics in delta region remained normal ,0
106,107,neutral_report,No significant disruptions were noted for asthma inhalers in Delta region.,0,0.0,0.0,Delta,no significant disruptions were noted for asthma inhalers in delta region,0
107,108,neutral_report,Pharmacies in coastal governorates reported st ...able availability of antihistamines this week.,0,0.0,0.0,coastal,pharmacies in coastal governorates reported st able availability of antihistamines this week,0
108,109,contract_dispute,Pharmacies in Alexandria reported issues with antibiotics. They cited pricing and terms. Additional concerns include clause.??,3,-0.5,4.5,Alexandria,pharmacies in alexandria reported issues with antibiotics they cited pricing and terms additional concerns include clause,1
109,110,quality_control_issue,pharmacies in upper egypt reported issues with antidepressants. they cited quality and investigation. additional concerns include failed.??,3,-0.5,8.1,upper,pharmacies in upper egypt reported issues with antidepressants they cited quality and investigation additional concerns include failed,1
111,112,it_system_failure,"In Alexandria, IV fluids availability has dropped. Reports mention login and complications from update. Additional concerns include login.",3,-0.5,3.6,and,in alexandria iv fluids availability has dropped reports mention login and complications from update additional concerns include login,0
113,114,import_delay,Pharmacies in Alexandria reported issues with insulin. They cited stuck and inspection.,3,-0.5,5.4,Alexandria,pharmacies in alexandria reported issues with insulin they cited stuck and inspection,1
115,116,contract_dispute,Pharmacies in Giza reported issues with antihistamines. They cited disagreement and pricing. Additional concerns include pricing.,3,-0.5,4.5,Giza,pharmacies in giza reported issues with antihistamines they cited disagreement and pricing additional concerns include pricing,1
116,117,neutral_report,Ph@rm@cies in C@n@l cities reported st@ble @v@il@bility of @ntico@gul@nts this week.,0,0.0,0.0,C,phrmcies in cnl cities reported stble vilbility of nticogulnts this week,0
119,120,storage_issue,Ph@rm@cies in new urb@n communities reported issues with insulin. They cited le@k @nd stor@ge. Addition@l concerns include spoil@ge.,0,0.0,0.0,new,phrmcies in new urbn communities reported issues with insulin they cited lek nd storge additionl concerns include spoilge,1
120,121,demand_spike,Pharmacies in Alexandria reported issues with antihistamines. They cited increase and peak. Additional concerns include unusual.,3,-0.5,5.85,Alexandria,pharmacies in alexandria reported issues with antihistamines they cited increase and peak additional concerns include unusual,1
121,122,labor_shortage,Pharmaci3s in Giza r3port3d issu3s with antibiotics. Th3y cit3d training and shift.,2,-0.5,3.3,Giza,pharmacis in giza rportd issus with antibiotics thy citd training and shift,0
122,123,contract_dispute,Pharmacies in Canal cities reported issues with vitamins. They cited clause and delay. Additional concerns include cancellation. ??,3,-0.5,4.5,Canal,pharmacies in canal cities reported issues with vitamins they cited clause and delay additional concerns include cancellation ,2
123,124,currency_issue,Pharmacies in Giza reported issues with children's syrup. They cited inflation and foreign. Additional concerns include devaluation.,3,-0.5,6.75,Giza,pharmacies in giza reported issues with childrens syrup they cited inflation and foreign additional concerns include devaluation,1
124,125,neutral_report, Supply levels for antiviral tablets in new urban communities remained normal.,0,0.0,0.0,new, supply levels for antiviral tablets in new urban communities remained normal,0
125,126,neutral_report, Supply levels for vitamins in new urban communities remained normal.,0,0.0,0.0,new, supply levels for vitamins in new urban communities remained normal,0
129,130,neutral_report,Supply l3v3ls for anticoagulants ... in D3lta r3gion r3main3d normal.,0,0.0,0.0,D,supply lvls for anticoagulants  in dlta rgion rmaind normal,0
134,135,manufacturing_issue,Pharmacies in new urban communities reported issues ... with antibiotics. They cited production and defect.,2,-0.5,5.1,new,pharmacies in new urban communities reported issues  with antibiotics they cited production and defect,1
135,136,neutral_report,No significant disruptions were noted for antiviral tablets in Delta region.,0,0.0,0.0,Delta,no significant disruptions were noted for antiviral tablets in delta region,0
142,143,forecasting_error,Pharmacies in Delta region reported issues with painkillers. They cited unexpected and assumption. ,2,-0.5,2.7,Delta,pharmacies in delta region reported issues with painkillers they cited unexpected and assumption ,1
150,151,distribution_center_issue,A weekly report from Cairo connected insulin instability to slowdown and backlog. ,2,-0.5,3.6,instability,a weekly report from cairo connected insulin instability to slowdown and backlog ,0
152,153,regulation_issue,Pharmaci3s in D3lta r3gion r3port3d issu3s with IV fluids. Th3 ...y cit3d bann3d and p3nalty. Additional conc3rns includ3 bann3d.,0,0.0,0.0,D,pharmacis in dlta rgion rportd issus with iv fluids th y citd bannd and pnalty additional concrns includ bannd,0
154,155,quality_control_issue,Pharmacies in Upper Egypt reported issues with blood pressure drugs. They cited out of spec and failed. Additional concerns include quality.,3,-0.5,8.1,Upper,pharmacies in upper egypt reported issues with blood pressure drugs they cited out of spec and failed additional concerns include quality,1
157,158,supplier_problem,Ph@rm@cies in Alex@ndri@ reported issues with blood pressure drugs. They cited c@p@city @nd missed. Addition@l concerns include disruption.,2,-0.5,4.2,Alex,phrmcies in alexndri reported issues with blood pressure drugs they cited cpcity nd missed additionl concerns include disruption,1
159,160,forecasting_error, A weekly report from coastal governorates connected insulin instability to miscalculated and projection.??,2,-0.5,2.7,instability, a weekly report from coastal governorates connected insulin instability to miscalculated and projection,0
163,164,seasonal_variation, Pharmacies in Upper Egypt reported issues with insulin. They cited summer and seasonal. Additional concerns include season.,4,-1.0,5.6,Upper, pharmacies in upper egypt reported issues with insulin they cited summer and seasonal additional concerns include season,1
164,165,demand_spike,Ph@rm@cies in C@iro reported issues with @ntidepress@nts. They cited sudden @nd dem@nd. Addition@l concerns include high.,2,-0.5,3.9,C,phrmcies in ciro reported issues with ntidepressnts they cited sudden nd demnd additionl concerns include high,1
167,168,forecasting_error,  Pharmacies in coastal governorates reported issues with oral rehydration salts. They cited underestimated and estimate.,3,-0.5,4.05,coastal,  pharmacies in coastal governorates reported issues with oral rehydration salts they cited underestimated and estimate,1
168,169,manufacturing_issue,Ph@rm@cies in C@n@l cities reported issues with @ntibiotics. They cited bre@kdown @nd production. Addition@l concerns include line.??,2,-0.5,5.1,C,phrmcies in cnl cities reported issues with ntibiotics they cited brekdown nd production additionl concerns include line,1
169,170,neutral_report,Pharmacies in Upper Egypt reported stable availability of IV fluids this week.,0,0.0,0.0,Upper,pharmacies in upper egypt reported stable availability of iv fluids this week,0
172,173,quality_control_issue,Pharmacies in Delta region reported issues with painkillers. T ...hey cited quality and defect. Additional concerns include lab.,3,-0.5,8.1,Delta,pharmacies in delta region reported issues with painkillers t hey cited quality and defect additional concerns include lab,1
175,176,it_system_failure,Pharmacies in Delta region reported issues with asthma inhalers. They cited bug and data. Additional concerns include software. ,3,-0.5,3.6,Delta,pharmacies in delta region reported issues with asthma inhalers they cited bug and data additional concerns include software ,1
180,181,regulation_issue,pharmacies in cairo reported issues with insulin. they cited penalty and warning. additional concerns include banned.,3,-0.5,7.2,cairo,pharmacies in cairo reported issues with insulin they cited penalty and warning additional concerns include banned,1
181,182,labor_shortage,"in alexandria, insulin availability has dropped. reports mention staff and complications from resignations. additional concerns include turnover.??",3,-0.5,4.95,alexandria,in alexandria insulin availability has dropped reports mention staff and complications from resignations additional concerns include turnover,0
182,183,neutral_report,Supply levels for blood pressure drugs in coastal governorates remained normal.,0,0.0,0.0,coastal,supply levels for blood pressure drugs in coastal governorates remained normal,0
188,189,neutral_report,Ph@rm@ci3s in C@iro r3port3d st@bl3 @v@il@bility of @ntibiotics this w33k.,0,0.0,0.0,C,phrmcis in ciro rportd stbl vilbility of ntibiotics this wk,0
189,190,supplier_problem,Pharmacies in Upper Egypt reported issues with oral rehydration salts. They cited late and under-performing.,2,-0.5,4.2,Upper,pharmacies in upper egypt reported issues with oral rehydration salts they cited late and underperforming,1
190,191,seasonal_variation,a weekly report from canal cities connected insulin instabil ...ity to holiday and winter. additional concerns include trend.,3,-0.5,3.15,instabil,a weekly report from canal cities connected insulin instabil ity to holiday and winter additional concerns include trend,0
194,195,import_delay,Pharmacies in Alexandria reported issues with children's syrup. They cited import and customs. Additional concerns include inspection.,5,-1.0,12.0,Alexandria,pharmacies in alexandria reported issues with childrens syrup they cited import and customs additional concerns include inspection,1
195,196,seasonal_variation,Pharmacies in Delta region reported issues with antiviral tablets. They cited festive and trend. Additional concerns include trend.,3,-0.5,3.15,Delta,pharmacies in delta region reported issues with antiviral tablets they cited festive and trend additional concerns include trend,1
197,198,manufacturing_issue,A weekly report from Giza connected insulin instability to factory and breakdown.,2,-0.5,5.1,instability,a weekly report from giza connected insulin instability to factory and breakdown,0
198,199,demand_spike,Pharmacies in Delta region reported issues with anticoagulants. They cited demand and shortage. Additional concerns include demand.,3,-0.5,5.85,Delta,pharmacies in delta region reported issues with anticoagulants they cited demand and shortage additional concerns include demand,2
199,200,demand_spike,Ph@rm@cies in co@st@l governor@tes reported issues with vit@mins. They cited surge @nd dem@nd. Addition@l concerns include high. ,2,-0.5,3.9,co,phrmcies in costl governortes reported issues with vitmins they cited surge nd demnd additionl concerns include high ,1
203,204,neutral_report,No significant disruptions were noted f ...or blood pressure drugs in Delta region.,0,0.0,0.0,Delta,no significant disruptions were noted f or blood pressure drugs in delta region,0
205,206,neutral_report,Pharmacies in Alexandria reported stab ...le availability of IV fluids this week.,0,0.0,0.0,Alexandria,pharmacies in alexandria reported stab le availability of iv fluids this week,0
206,207,neutral_report,Supply levels for blood pressure drugs in Alexandria remained normal. ,0,0.0,0.0,Alexandria,supply levels for blood pressure drugs in alexandria remained normal ,0
207,208,distribution_center_issue,Pharmacies in new urban communities reported issues with blood pressure drugs. They cited loading and slowdown. Additional concerns include queue.,3,-0.5,5.4,new,pharmacies in new urban communities reported issues with blood pressure drugs they cited loading and slowdown additional concerns include queue,1
209,210,demand_spike,pharmacies in cairo reported issues with antihistamines. they cited demand and peak. additional concerns include rush.??,3,-0.5,5.85,cairo,pharmacies in cairo reported issues with antihistamines they cited demand and peak additional concerns include rush,1
218,219,neutral_report,Supply levels for insulin in Cairo remained normal.,0,0.0,0.0,in,supply levels for insulin in cairo remained normal,0
220,221,it_system_failure,pharmacies in cairo reported issues with asthma inhalers. they cited downtime and software. additional concerns include update.,3,-0.5,3.6,cairo,pharmacies in cairo reported issues with asthma inhalers they cited downtime and software additional concerns include update,1
226,227,it_system_failure,Pharmacies in Giza reported issues with IV fluids. They cited error and slow.,2,-0.5,2.4,Giza,pharmacies in giza reported issues with iv fluids they cited error and slow,1
229,230,transport_issue,Pharmaci3s in Canal citi3s r3port3d issu3s with painkill3rs. Th3y  ...cit3d traffic and cong3stion. Additional conc3rns includ3 accid3nt.,1,0.0,1.0,Canal,pharmacis in canal citis rportd issus with painkillrs thy  citd traffic and congstion additional concrns includ accidnt,0
232,233,neutral_report, Pharmacies in Cairo reported stable availability of asthma inhalers this week.,0,0.0,0.0,Cairo, pharmacies in cairo reported stable availability of asthma inhalers this week,0
239,240,neutral_report,supply levels for blood pressure drugs in alexandria remained normal.,0,0.0,0.0,alexandria,supply levels for blood pressure drugs in alexandria remained normal,0
241,242,transport_issue,Pharmacies in Alexandria reported issues with anticoagulants. They cited detour and accident. Additional concerns include traffic.,3,-0.5,4.5,Alexandria,pharmacies in alexandria reported issues with anticoagulants they cited detour and accident additional concerns include traffic,1
245,246,manufacturing_issue,"In coastal gov3rnorat3s, insulin availability has dropp3d. R3ports m3ntion batch and complications from br3akdown. Additional conc3rns includ3 production.",2,-0.5,5.1,availability,in coastal govrnorats insulin availability has droppd rports mntion batch and complications from brakdown additional concrns includ production,0
246,247,distribution_center_issue,"in canal cities, insulin availability has dropped. reports mention hub and complications from capacity. additional concerns include processing.",3,-0.5,5.4,canal,in canal cities insulin availability has dropped reports mention hub and complications from capacity additional concerns include processing,0
248,249,labor_shortage,Pharmacies in new urban communities reported issues with IV fluids. They cited turnover and vacancy. Additional concerns include absent.,3,-0.5,4.95,new,pharmacies in new urban communities reported issues with iv fluids they cited turnover and vacancy additional concerns include absent,1
249,250,distribution_center_issue,Pharmacies in coastal governorates reported issues with painkillers. They cited loading and capacity. Additional concerns include backlog.,3,-0.5,5.4,coastal,pharmacies in coastal governorates reported issues with painkillers they cited loading and capacity additional concerns include backlog,1
254,255,storage_issue,pharmacies in upper egypt reported issues with oral rehydration salts. they cited power cut and humidity.,2,-0.5,4.5,upper,pharmacies in upper egypt reported issues with oral rehydration salts they cited power cut and humidity,1
256,257,neutral_report,No significant disruptions were noted for IV fluids in new urban communities.,0,0.0,0.0,new,no significant disruptions were noted for iv fluids in new urban communities,0
262,263,regulation_issue,Pharmacies in Canal cities reported issues with antiviral tablets. They cited recall and approval. Additional concerns include banned.,3,-0.5,7.2,Canal,pharmacies in canal cities reported issues with antiviral tablets they cited recall and approval additional concerns include banned,1
263,264,manufacturing_issue,Pharmacies in Alexandria reported issues with anticoagulants. They cited breakdown and repair. Additional concerns include shutdown.,3,-0.5,7.65,Alexandria,pharmacies in alexandria reported issues with anticoagulants they cited breakdown and repair additional concerns include shutdown,1
264,265,currency_issue,A weekly report from new urban communities connected insulin instability to reserve and price.,2,-0.5,4.5,instability,a weekly report from new urban communities connected insulin instability to reserve and price,0
265,266,neutral_report, No significant disruptions were noted for antidepressants in Upper Egypt.??,0,0.0,0.0,Upper, no significant disruptions were noted for antidepressants in upper egypt,0
267,268,regulation_issue,pharmacies in coastal governorates reported issues with antiviral tablets. they cited warning and new rules.,2,-0.5,4.8,coastal,pharmacies in coastal governorates reported issues with antiviral tablets they cited warning and new rules,1
273,274,neutral_report,no significant disruptions were noted for asthma inhalers in giza.,0,0.0,0.0,giza,no significant disruptions were noted for asthma inhalers in giza,0
279,280,transport_issue,"in alexandria, cancer medicines availability has dropped. reports mention blocked and complications from transport.",2,-0.5,3.0,alexandria,in alexandria cancer medicines availability has dropped reports mention blocked and complications from transport,0
281,282,it_system_failure,Pharmacies in Cairo reported issues with antibiotics. They cited crash and system. Additional concerns include bug. ,3,-0.5,3.6,Cairo,pharmacies in cairo reported issues with antibiotics they cited crash and system additional concerns include bug ,1
284,285,seasonal_variation,pharmacies in delta region reported issues with anticoagulants. they cited trend and wave.,2,-0.5,2.1,delta,pharmacies in delta region reported issues with anticoagulants they cited trend and wave,1
286,287,manufacturing_issue,Pharmacies in new urban communities reported issues with vitamins. They cited defect and line. Additional concerns include production.,3,-0.5,7.65,new,pharmacies in new urban communities reported issues with vitamins they cited defect and line additional concerns include production,1
287,288,regulation_issue,A weekly report from Upper Egypt connected insulin instability to compliance and restriction.,2,-0.5,4.8,instability,a weekly report from upper egypt connected insulin instability to compliance and restriction,0
292,293,neutral_report,Supply levels for painkillers in Cairo remained normal.,0,0.0,0.0,Cairo,supply levels for painkillers in cairo remained normal,0
293,294,neutral_report, Pharmacies in Upper Egypt reported stable availability of painkillers this week. ,0,0.0,0.0,Upper, pharmacies in upper egypt reported stable availability of painkillers this week ,0
296,297,transport_issue,Ph@rm@cies in new urb@n communities reported issues w ...ith @ntico@gul@nts. They cited tr@ffic @nd tr@nsport.,0,0.0,0.0,new,phrmcies in new urbn communities reported issues w ith nticogulnts they cited trffic nd trnsport,1
297,298,demand_spike,"in coastal governorates, cancer medicines availability has dropped. reports mention increase and complications from sudden. additional concerns include spike.",3,-0.5,5.85,coastal,in coastal governorates cancer medicines availability has dropped reports mention increase and complications from sudden additional concerns include spike,0
299,300,labor_shortage,Pharmacies in Cairo reported issues with IV fluids. They cited shift and sick leave.,2,-0.5,3.3,Cairo,pharmacies in cairo reported issues with iv fluids they cited shift and sick leave,1
300,301,seasonal_variation,Pharmacies in Canal cities reported issues with vitamins. They cited cold and virus. Additional concerns include allergy.,3,-0.5,3.15,Canal,pharmacies in canal cities reported issues with vitamins they cited cold and virus additional concerns include allergy,1
303,304,manufacturing_issue,Pharmacies in Canal cities reported issues with insulin. They cited batch and production.,2,-0.5,5.1,Canal,pharmacies in canal cities reported issues with insulin they cited batch and production,1
305,306,distribution_center_issue,"in new urban communities, oral rehydration salts availability has dropped. reports mention hub and complications from sorting.",2,-0.5,3.6,new,in new urban communities oral rehydration salts availability has dropped reports mention hub and complications from sorting,0
308,309,contract_dispute,Pharmacies in Delta region reported issues with vitamins. They cited cancellation and penalty.,2,-0.5,3.0,Delta,pharmacies in delta region reported issues with vitamins they cited cancellation and penalty,1
309,310,supplier_problem,Pharmacies in Giza reported issues with IV fluids. They cited backlog and supplier. Additional concerns include late.,3,-0.5,6.3,Giza,pharmacies in giza reported issues with iv fluids they cited backlog and supplier additional concerns include late,1
313,314,neutral_report,No significant disruptions were noted for vitamins in Upper Egypt.,0,0.0,0.0,Upper,no significant disruptions were noted for vitamins in upper egypt,0
321,322,transport_issue,"In Giza, insulin availability has dropped. Reports mention route and complications from detour. Additional concerns include truck.",3,-0.5,4.5,availability,in giza insulin availability has dropped reports mention route and complications from detour additional concerns include truck,0
322,323,import_delay,pharmacies in canal cities reported issues with asthma inhalers. they cited stuck and inspection. additional concerns include dock.,4,-1.0,9.6,canal,pharmacies in canal cities reported issues with asthma inhalers they cited stuck and inspection additional concerns include dock,1
323,324,neutral_report,No significant disruptions were noted for anticoagulants in Cairo. ,0,0.0,0.0,Cairo,no significant disruptions were noted for anticoagulants in cairo ,0
325,326,currency_issue,Pharmacies in Cairo reported issues with asthma inhalers. They cited dollar and bank. Additional concerns include reserve.,3,-0.5,6.75,Cairo,pharmacies in cairo reported issues with asthma inhalers they cited dollar and bank additional concerns include reserve,1
326,327,manufacturing_issue, Pharmacies in Cairo reported issues with vitamins. They cited line and repair. Additional concerns include raw material.,3,-0.5,7.65,Cairo, pharmacies in cairo reported issues with vitamins they cited line and repair additional concerns include raw material,1
328,329,neutral_report,No significant disruptions were  ...noted for vitamins in Alexandria.,0,0.0,0.0,Alexandria,no significant disruptions were  noted for vitamins in alexandria,0
335,336,import_delay,Pharmaci3s in Al3xandria r3port3d issu3s with canc3r m3dicin3s. Th3y cit3d insp3ction and customs. Additional conc3rns includ3 d3lay.,2,-0.5,3.6,Al,pharmacis in alxandria rportd issus with cancr mdicins thy citd inspction and customs additional concrns includ dlay,0
337,338,import_delay,Pharmacies in Upper Egypt reported issues with oral rehydration salts. They cited dock and stuck. ??,3,-0.5,5.4,Upper,pharmacies in upper egypt reported issues with oral rehydration salts they cited dock and stuck ,1
338,339,neutral_report,Pharmacies in coastal governorates reported stable availability of oral rehydration salts this week.,0,0.0,0.0,coastal,pharmacies in coastal governorates reported stable availability of oral rehydration salts this week,0
339,340,transport_issue,Pharmacies in Cairo reported issues with anticoagulants. They cited bridge and delay. Additional concerns include closure.,3,-0.5,4.5,Cairo,pharmacies in cairo reported issues with anticoagulants they cited bridge and delay additional concerns include closure,2
341,342,storage_issue,Pharmacies in Canal cities reported issues wit ...h children's syrup. They cited leak and damage.,2,-0.5,4.5,Canal,pharmacies in canal cities reported issues wit h childrens syrup they cited leak and damage,1
342,343,import_delay,Pharmacies in Giza reported issues with oral reh ...ydration salts. They cited stuck and offloading.,3,-0.5,5.4,Giza,pharmacies in giza reported issues with oral reh ydration salts they cited stuck and offloading,1
343,344,it_system_failure,A weekly report from Canal cities connected oral rehydration salts instability to login and slow. Additional concerns include update.,3,-0.5,3.6,and,a weekly report from canal cities connected oral rehydration salts instability to login and slow additional concerns include update,0
344,345,storage_issue,Pharmacies in Canal cities reported issues with IV fluids. They cited contamination and humidity.,2,-0.5,4.5,Canal,pharmacies in canal cities reported issues with iv fluids they cited contamination and humidity,1
347,348,neutral_report,Pharmacies in coastal governorates reporte ...d stable availability of insulin this week.,0,0.0,0.0,coastal,pharmacies in coastal governorates reporte d stable availability of insulin this week,0
348,349,forecasting_error,Pharmaci3s in Canal citi3s r3port3d issu3s with insulin. Th3y cit3d un3xp3ct3d and sc3nario.,0,0.0,0.0,Canal,pharmacis in canal citis rportd issus with insulin thy citd unxpctd and scnario,0
